Location,Lat,Lon
Custom,,
Rumah Galaxi,-6.26526,106.97298
Adaut,-8.13,131.12
Adonara,-8.33,123.18,NTT
Adua,-1.75,129.83,Maluku
Agats,-5.55,138.00
Agung,-8.33,115.47
Aimere,-8.75,121.05
Akelamo,1.58,129.67
Alor,-8.25,124.50
Alusi,-7.58,131.67
Amahai,-3.33,128.92
Amamapare,-4.88,136.63
Ambon,-3.72,128.20
Ampenan (Pantai),-8.57,116.07
Amuntai,-2.47,115.42
Amurang,1.08,124.67
Anambas,3.33,106.50
Anambas Is./Anambas,3.33,106.50
Ansudu,-2.18,139.37
Anyer-Kidul,-6.07,105.88
Arjuna,-7.82,112.57
Aru,-6.00,134.50
Aru Is/Aru,-6.00,134.50
Asia,1.00,131.22
Auponhia,-1.97,125.45
Ayu,0.58,131.08
Baa,-10.83,123.00
Babar,-8.00,129.50
Babo,-2.50,133.50
Bacan,-0.58,127.50
Badas,0.75,107.08
Bade,-7.17,139.58
Bagansiapiapi,2.20,100.83
Baing,-10.23,120.57
Balabalangan,-2.33,117.50
Bali,-8.33,115.00
Bali,-8.33,115.00
Bali,-8.30,114.42
Balikpapan,-1.17,116.92
Banda,-4.62,129.83
Banda Aceh,5.53,95.32
Banda Elat,-5.67,133.08
Banda Is./Banda,-4.62,129.83
Banda Sea,-6.00,130.00
Bandanaira,-4.53,129.90
Bandung,-6.90,107.60
Banggai,-1.57,123.50
Banggai,-1.67,123.50
Banggai Arch./Banggai,-1.67,123.50
Bangka,1.83,125.08
Bangka,-2.00,105.83
Bangka,-2.50,105.50
Bangkalan,-7.03,112.77
Bangkinang,0.30,101.08
Bangko,-2.08,102.15
Banjarmasin,-3.33,114.58
Bantaeng,-5.53,119.93
Bantul,-7.92,110.32
Banyak,2.17,97.17
Banyumas,-7.53,109.30
Banyuwangi,-8.22,114.35
Barabai,-2.53,115.57
Barapasi,-2.25,137.08
Barat Daya,-7.50,128.00
Barisan,-3.50,102.25
Barito,-4.00,114.83
Batang,-6.92,109.75
Batanta,-0.92,130.67
Batu,-0.50,98.42
Batu Is./Batu,-0.50,98.42
Batuata,-6.20,122.70
Baturaja,-4.18,104.25
Baubau,-5.42,122.63
Bawean,-5.77,112.58
Bekasi,-6.27,106.97
Belawan,3.55,98.53
Belinyu,-1.58,105.83
Beliton Is. Belitung,-3.17,107.83
Belitung,-3.17,107.83
Bangkalis,1.50,102.17
Bengkulu,-3.83,102.20
Bengkulu,-3.80,102.27
Benteng,-6.17,120.50
Beo,4.42,126.83
Berau,-2.50,132.50
Berebere,2.42,128.75
Berhala,-1.00,104.25
Besar,-2.67,116.00
Biak,-1.17,136.10
Biaro,2.08,125.43
Billiton Is./Belitung,-3.17,107.83
Bima,-8.37,118.82
Binjai,3.33,98.50
Binongko,-5.95,124.03
Bintan,1.00,104.00
Bintuni,-2.12,133.53
Bireuen,5.23,96.65
Bisa,-1.25,127.47
Biltar,-8.08,112.18
Blora,-6.95,111.42
Bogor,-6.60,106.80
Bojonegoro,-7.18,111.90
Bondowoso,-7.92,113.82
Bone,-4.17,120.83
Bonerate,-7.42,121.08
Bonerate,-6.50,121.17
Bonoi,-1.75,137.68
Bontang,0.17,117.50
Bosnik,-1.08,136.17
Boyolali,-7.53,110.58
Brebes,-6.87,109.05
Buapinang,-4.67,121.50
Bugel,-6.43,111.05
Bukittinggi,-0.33,100.33
Bula,-3.10,130.50
Buli,0.80,128.42
Bulukumba,-5.88,120.18
Buntok,-1.67,114.97
Bunyu,3.58,117.83
Buol,1.25,121.53
Buru,-3.50,126.50
Buton,-5.00,122.75
Butung/Buton,-5.00,122.75
Calang,4.62,95.62
Careme/Ciremai,-6.92,108.45
Celebes Sea,3.00,123.00
Cendrawasih Teluk,-2.5,135.30
Cepu,-7.15,111.58
Ceram/Seram,-3.17,129.00
Ceram Sea/Seram Sea,-2.50,128.50
Ciamis,-7.33,108.35
Cijanjur,-6.82,107.13
Cijulang,-7.70,108.45
Cilacap,-7.72,109.00
Cirebon,-6.75,108.53
Ciremai,-6.92,108.45
Curup,-4.43,102.22
Dabo/Pasirkuning,-0.50,104.55
Damar,-7.12,128.67
Dampier,-0.67,131.00
Dana,-11.00,122.87
Danau Poso,-1.87,120.58
Datu,2.08,109.65
Datuk,2.08,109.65
Demak,-6.88,110.63
Dempo,-4.03,103.25
Dendang,-3.12,107.93
Denpasar,-8.65,115.22
Digul,-7.12,138.70
Djakarta/Jakarta,-6.15,106.82
Djawa/Jawa,-7.00,110.00
Doberai,-1.42,133.00
Dobo,44.77,18.07
Doi,2.23,127.82
Dolak,-8.00,138.50
Dondo,0.83,120.50
Donggala,-0.50,119.67
Dumai,1.58,101.47
D' Urville,-1.47,137.90
Eliase,-8.35,130.80
Enarotali,-3.92,136.35
Ende,-8.75,121.67
Enggano,-5.33,102.67
Fakfak,-2.92,132.30
Fatagar,-2.77,131.95
Flamingo,-5.50,138.00
Flesko,0.48,124.50
Flores,-8.58,121.00
Flores Sea,-6.50,120.00
Fluk,-1.70,127.73
Galela,1.83,127.82
anedidalem/Gani,-0.80,128.23
Gani,-0.80,128.23
Ganyem/Genyem,-2.77,140.20
Garut,-7.23,107.88
Gebe,0.08,129.42
Geelvink Bay,-2.5,135.30
Genteng,-7.37,106.40
Genyem,-2.77,140.20
Geser,-3.83,130.90
Gomogomo,-6.65,134.72
Gorong,-3.98,131.42
Gorontalo,0.58,123.08
Great Sangi/Sangihe,3.58,125.50
Greater Sunda Is.,-7.00,112.00
Gresik,-7.22,112.63
Guhakolak,-6.83,105.23
