id,province_id,name,latitude,longitude
1101,11,KAB. SIMEULUE,2.61667,96.08333
1102,11,KAB. ACEH SINGKIL,2.41667,97.91667
1103,11,KAB. ACEH SELATAN,3.16667,97.41667
1104,11,KAB. ACEH TENGGARA,3.36667,97.7
1105,11,KAB. ACEH TIMUR,4.63333,97.63333
1106,11,KAB. ACEH TENGAH,4.51,96.855
1107,11,KAB. ACEH BARAT,4.45,96.16667
1108,11,KAB. ACEH BESAR,5.38333,95.51667
1109,11,KAB. PIDIE,5.08,96.11
1110,11,KAB. BIREUEN,5.08333,96.58333
1111,11,KAB. ACEH UTARA,4.97,97.14
1112,11,KAB. ACEH BARAT DAYA,3.83333,96.88333
1113,11,KAB. GAYO LUES,3.95,97.39
1114,11,KAB. ACEH TAMIANG,4.25,97.96667
1115,11,KAB. NAGAN RAYA,4.16667,96.51667
1116,11,KAB. ACEH JAYA,4.86,95.64
1117,11,KAB. BENER MERIAH,4.73015,96.86156
1118,11,KAB. PIDIE JAYA,5.15,96.21667
1171,11,KOTA BANDA ACEH,5.54167,95.33333
1172,11,KOTA SABANG,5.82164,95.31086
1173,11,KOTA LANGSA,4.47,97.93
1174,11,KOTA LHOKSEUMAWE,5.13333,97.06667
1175,11,KOTA SUBULUSSALAM,2.75,97.93333
1201,12,KAB. NIAS,1.03333,97.76667
1202,12,KAB. MANDAILING NATAL,0.78378,99.25495
1203,12,KAB. TAPANULI SELATAN,1.51667,99.25
1204,12,KAB. TAPANULI TENGAH,1.9,98.66667
1205,12,KAB. TAPANULI UTARA,2.0028,99.0707
1206,12,KAB. TOBA SAMOSIR,2.39793,99.21678
1207,12,KAB. LABUHAN BATU,2.26667,100.1
1208,12,KAB. ASAHAN,2.78333,99.55
1209,12,KAB. SIMALUNGUN,2.9,99
1210,12,KAB. DAIRI,2.86667,98.23333
1211,12,KAB. KARO,3.11667,98.3
1212,12,KAB. DELI SERDANG,3.41667,98.66667
1213,12,KAB. LANGKAT,3.71667,98.21667
1214,12,KAB. NIAS SELATAN,0.77,97.75
1215,12,KAB. HUMBANG HASUNDUTAN,2.26551,98.50376
1216,12,KAB. PAKPAK BHARAT,2.56667,98.28333
